All,ಎಲ್ಲಾ
None,"ಯಾವುದೂ ಇಲ್ಲ"
"Allowed Scopes","ಅನುಮತಿಸಿರುವ ವ್ಯಾಪ್ತಿಗಳು"
"More permissions are needed to delete the ""%1"" item.","""%1"" ವಸ್ತುವನ್ನು ಅಳಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"You need more permissions to apply some of the rule updates.","ಕೆಲವು ನಿಯಮಗಳ ಪರಿಷ್ಕರಣೆ ಅನ್ವಯಕ್ಕಾಗಿ ನಿಮಗೆ ಹೆಚ್ಚಿನ ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ."
"More permissions are needed to view this item.","ಈ ವಸ್ತುವನ್ನು ವೀಕ್ಷಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"Orders can only be completed in an active store. Verify the store and try again.","ಸಕ್ರಿಯವಾಗಿರುವ ಮಳಿಗೆಯಲ್ಲಿ ಮಾತ್ರ ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಬಹುದು. ಮಳಿಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"More permissions are needed to save this item.","ಈ ವಸ್ತುವನ್ನು ಉಳಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"More permissions are needed to delete this item.","ಈ ವಸ್ತುವನ್ನು ಅಳಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ಜಾಲತಾಣ ಐಡಿ ತಪ್ಪಾಗಿದೆ. ಜಾಲತಾಣ ಐಡಿ ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"You need more permissions to access website ""%1"".","""%1"" ಜಾಲತಾಣವನ್ನು ಪ್ರವೇಶಿಸಲು ನಿಮಗೆ ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
